Z,CDF
-2.22,0.01320938
-2.21,0.01355258
-2.20,0.01390345
-2.19,0.01426212
-2.18,0.01462873
-2.17,0.01500342
-2.16,0.01538633
-2.15,0.01577761
-2.14,0.01617738
-2.13,0.01658581
-2.12,0.01700302
-2.11,0.01742918
-2.10,0.01786442
-2.09,0.01830890
-2.08,0.01876277
-2.07,0.01922617
-2.06,0.01969927
-2.05,0.02018222
-2.04,0.02067516
-2.03,0.02117827
-2.02,0.02169169
-2.01,0.02221559
-2.00,0.02275013
-1.99,0.02329547
-1.98,0.02385176
-1.97,0.02441919
-1.96,0.02499790
-1.95,0.02558806
-1.94,0.02618984
-1.93,0.02680342
-1.92,0.02742895
-1.91,0.02806661
-1.90,0.02871656
-1.89,0.02937898
-1.88,0.03005404
-1.87,0.03074191
-1.86,0.03144276
-1.85,0.03215677
-1.84,0.03288412
-1.83,0.03362497
-1.82,0.03437950
-1.81,0.03514789
-1.80,0.03593032
-1.79,0.03672696
-1.78,0.03753798
-1.77,0.03836357
-1.76,0.03920390
-1.75,0.04005916
-1.74,0.04092951
-1.73,0.04181514
-1.72,0.04271622
-1.71,0.04363294
-1.70,0.04456546
-1.69,0.04551398
-1.68,0.04647866
-1.67,0.04745968
-1.66,0.04845723
-1.65,0.04947147
-1.64,0.05050258
-1.63,0.05155075
-1.62,0.05261614
-1.61,0.05369893
-1.60,0.05479929
-1.59,0.05591740
-1.58,0.05705343
-1.57,0.05820756
-1.56,0.05937994
-1.55,0.06057076
-1.54,0.06178018
-1.53,0.06300836
-1.52,0.06425549
-1.51,0.06552171
-1.50,0.06680720
-1.49,0.06811212
-1.48,0.06943662
-1.47,0.07078088
-1.46,0.07214504
-1.45,0.07352926
-1.44,0.07493370
-1.43,0.07635851
-1.42,0.07780384
-1.41,0.07926984
-1.40,0.08075666
-1.39,0.08226444
-1.38,0.08379332
-1.37,0.08534345
-1.36,0.08691496
-1.35,0.08850799
-1.34,0.09012267
-1.33,0.09175914
-1.32,0.09341751
-1.31,0.09509792
-1.30,0.09680048
-1.29,0.09852533
-1.28,0.10027257
-1.27,0.10204232
-1.26,0.10383468
-1.25,0.10564977
-1.24,0.10748770
-1.23,0.10934855
-1.22,0.11123244
-1.21,0.11313945
-1.20,0.11506967
-1.19,0.11702320
-1.18,0.11900011
-1.17,0.12100048
-1.16,0.12302440
-1.15,0.12507194
-1.14,0.12714315
-1.13,0.12923811
-1.12,0.13135688
-1.11,0.13349951
-1.10,0.13566606
-1.09,0.13785657
-1.08,0.14007109
-1.07,0.14230965
-1.06,0.14457230
-1.05,0.14685906
-1.04,0.14916995
-1.03,0.15150500
-1.02,0.15386423
-1.01,0.15624765
-1.00,0.15865525
-0.99,0.16108706
-0.98,0.16354306
-0.97,0.16602325
-0.96,0.16852761
-0.95,0.17105613
-0.94,0.17360878
-0.93,0.17618554
-0.92,0.17878638
-0.91,0.18141125
-0.90,0.18406013
-0.89,0.18673294
-0.88,0.18942965
-0.87,0.19215020
-0.86,0.19489452
-0.85,0.19766254
-0.84,0.20045419
-0.83,0.20326939
-0.82,0.20610805
-0.81,0.20897009
-0.80,0.21185540
-0.79,0.21476388
-0.78,0.21769544
-0.77,0.22064995
-0.76,0.22362729
-0.75,0.22662735
-0.74,0.22965000
-0.73,0.23269509
-0.72,0.23576250
-0.71,0.23885207
-0.70,0.24196365
-0.69,0.24509709
-0.68,0.24825223
-0.67,0.25142890
-0.66,0.25462691
-0.65,0.25784611
-0.64,0.26108630
-0.63,0.26434729
-0.62,0.26762889
-0.61,0.27093090
-0.60,0.27425312
-0.59,0.27759532
-0.58,0.28095731
-0.57,0.28433885
-0.56,0.28773972
-0.55,0.29115969
-0.54,0.29459852
-0.53,0.29805597
-0.52,0.30153179
-0.51,0.30502573
-0.50,0.30853754
-0.49,0.31206695
-0.48,0.31561370
-0.47,0.31917751
-0.46,0.32275811
-0.45,0.32635522
-0.44,0.32996855
-0.43,0.33359782
-0.42,0.33724273
-0.41,0.34090297
-0.40,0.34457826
-0.39,0.34826827
-0.38,0.35197271
-0.37,0.35569125
-0.36,0.35942357
-0.35,0.36316935
-0.34,0.36692826
-0.33,0.37069998
-0.32,0.37448417
-0.31,0.37828048
-0.30,0.38208858
-0.29,0.38590812
-0.28,0.38973875
-0.27,0.39358013
-0.26,0.39743189
-0.25,0.40129367
-0.24,0.40516513
-0.23,0.40904588
-0.22,0.41293558
-0.21,0.41683384
-0.20,0.42074029
-0.19,0.42465457
-0.18,0.42857628
-0.17,0.43250507
-0.16,0.43644054
-0.15,0.44038231
-0.14,0.44433000
-0.13,0.44828321
-0.12,0.45224157
-0.11,0.45620469
-0.10,0.46017216
-0.09,0.46414361
-0.08,0.46811863
-0.07,0.47209683
-0.06,0.47607782
-0.05,0.48006119
-0.04,0.48404656
-0.03,0.48803353
-0.02,0.49202169
-0.01,0.49601064
0.00,0.50000000
0.01,0.50398936
0.02,0.50797831
0.03,0.51196647
0.04,0.51595344
0.05,0.51993881
0.06,0.52392218
0.07,0.52790317
0.08,0.53188137
0.09,0.53585639
0.10,0.53982784
0.11,0.54379531
0.12,0.54775843
0.13,0.55171679
0.14,0.55567000
0.15,0.55961769
0.16,0.56355946
0.17,0.56749493
0.18,0.57142372
0.19,0.57534543
0.20,0.57925971
0.21,0.58316616
0.22,0.58706442
0.23,0.59095412
0.24,0.59483487
0.25,0.59870633
0.26,0.60256811
0.27,0.60641987
0.28,0.61026125
0.29,0.61409188
0.30,0.61791142
0.31,0.62171952
0.32,0.62551583
0.33,0.62930002
0.34,0.63307174
0.35,0.63683065
0.36,0.64057643
0.37,0.64430875
0.38,0.64802729
0.39,0.65173173
0.40,0.65542174
0.41,0.65909703
0.42,0.66275727
0.43,0.66640218
0.44,0.67003145
0.45,0.67364478
0.46,0.67724189
0.47,0.68082249
0.48,0.68438630
0.49,0.68793305
0.50,0.69146246
0.51,0.69497427
0.52,0.69846821
0.53,0.70194403
0.54,0.70540148
0.55,0.70884031
0.56,0.71226028
0.57,0.71566115
0.58,0.71904269
0.59,0.72240468
0.60,0.72574688
0.61,0.72906910
0.62,0.73237111
0.63,0.73565271
0.64,0.73891370
0.65,0.74215389
0.66,0.74537309
0.67,0.74857110
0.68,0.75174777
0.69,0.75490291
0.70,0.75803635
0.71,0.76114793
0.72,0.76423750
0.73,0.76730491
0.74,0.77035000
0.75,0.77337265
0.76,0.77637271
0.77,0.77935005
0.78,0.78230456
0.79,0.78523612
0.80,0.78814460
0.81,0.79102991
0.82,0.79389195
0.83,0.79673061
0.84,0.79954581
0.85,0.80233746
0.86,0.80510548
0.87,0.80784980
0.88,0.81057035
0.89,0.81326706
0.90,0.81593987
0.91,0.81858875
0.92,0.82121362
0.93,0.82381446
0.94,0.82639122
0.95,0.82894387
0.96,0.83147239
0.97,0.83397675
0.98,0.83645694
0.99,0.83891294
1.00,0.84134475
1.01,0.84375235
1.02,0.84613577
1.03,0.84849500
1.04,0.85083005
1.05,0.85314094
1.06,0.85542770
1.07,0.85769035
1.08,0.85992891
1.09,0.86214343
1.10,0.86433394
1.11,0.86650049
1.12,0.86864312
1.13,0.87076189
1.14,0.87285685
1.15,0.87492806
1.16,0.87697560
1.17,0.87899952
1.18,0.88099989
1.19,0.88297680
1.20,0.88493033
1.21,0.88686055
1.22,0.88876756
1.23,0.89065145
1.24,0.89251230
1.25,0.89435023
1.26,0.89616532
1.27,0.89795768
1.28,0.89972743
1.29,0.90147467
1.30,0.90319952
1.31,0.90490208
1.32,0.90658249
1.33,0.90824086
1.34,0.90987733
1.35,0.91149201
1.36,0.91308504
1.37,0.91465655
1.38,0.91620668
1.39,0.91773556
1.40,0.91924334
1.41,0.92073016
1.42,0.92219616
1.43,0.92364149
1.44,0.92506630
1.45,0.92647074
1.46,0.92785496
1.47,0.92921912
1.48,0.93056338
1.49,0.93188788
1.50,0.93319280
1.51,0.93447829
1.52,0.93574451
1.53,0.93699164
1.54,0.93821982
1.55,0.93942924
1.56,0.94062006
1.57,0.94179244
1.58,0.94294657
1.59,0.94408260
1.60,0.94520071
1.61,0.94630107
1.62,0.94738386
1.63,0.94844925
1.64,0.94949742
1.65,0.95052853
1.66,0.95154277
1.67,0.95254032
1.68,0.95352134
1.69,0.95448602
1.70,0.95543454
1.71,0.95636706
1.72,0.95728378
1.73,0.95818486
1.74,0.95907049
1.75,0.95994084
1.76,0.96079610
1.77,0.96163643
1.78,0.96246202
1.79,0.96327304
1.80,0.96406968
1.81,0.96485211
1.82,0.96562050
1.83,0.96637503
1.84,0.96711588
1.85,0.96784323
1.86,0.96855724
1.87,0.96925809
1.88,0.96994596
1.89,0.97062102
1.90,0.97128344
1.91,0.97193339
1.92,0.97257105
1.93,0.97319658
1.94,0.97381016
1.95,0.97441194
1.96,0.97500210
1.97,0.97558081
1.98,0.97614824
1.99,0.97670453
2.00,0.97724987
2.01,0.97778441
2.02,0.97830831
2.03,0.97882173
2.04,0.97932484
2.05,0.97981778
2.06,0.98030073
2.07,0.98077383
2.08,0.98123723
2.09,0.98169110
2.10,0.98213558
2.11,0.98257082
2.12,0.98299698
2.13,0.98341419
2.14,0.98382262
2.15,0.98422239
2.16,0.98461367
2.17,0.98499658
2.18,0.98537127
2.19,0.98573788
2.20,0.98609655
2.21,0.98644742
2.22,0.98679062
2.23,0.98712628
2.24,0.98745454
2.25,0.98777553
2.26,0.98808937
2.27,0.98839621
2.28,0.98869616
2.29,0.98898934
2.30,0.98927589
2.31,0.98955592
2.32,0.98982956
2.33,0.99009692
2.34,0.99035813
2.35,0.99061329
2.36,0.99086253
2.37,0.99110596
2.38,0.99134368
2.39,0.99157581
2.40,0.99180246
2.41,0.99202374
2.42,0.99223975
2.43,0.99245059
2.44,0.99265637
2.45,0.99285719
2.46,0.99305315
2.47,0.99324435
2.48,0.99343088
2.49,0.99361285
2.50,0.99379033
2.51,0.99396344
2.52,0.99413226
2.53,0.99429687
2.54,0.99445738
2.55,0.99461385
2.56,0.99476639
2.57,0.99491507
2.58,0.99505998
2.59,0.99520120
2.60,0.99533881
2.61,0.99547289
2.62,0.99560351
2.63,0.99573076
2.64,0.99585470
2.65,0.99597541
2.66,0.99609297
2.67,0.99620744
2.68,0.99631889
2.69,0.99642740
2.70,0.99653303
2.71,0.99663584
2.72,0.99673590
2.73,0.99683328
2.74,0.99692804
2.75,0.99702024
2.76,0.99710993
2.77,0.99719719
2.78,0.99728206
2.79,0.99736460
2.80,0.99744487
2.81,0.99752293
2.82,0.99759882
2.83,0.99767260
2.84,0.99774432
2.85,0.99781404
2.86,0.99788179
2.87,0.99794764
2.88,0.99801162
2.89,0.99807379
2.90,0.99813419
2.91,0.99819286
2.92,0.99824984
2.93,0.99830519
2.94,0.99835894
2.95,0.99841113
2.96,0.99846180
2.97,0.99851100
2.98,0.99855876
2.99,0.99860511
3.00,0.99865010
3.01,0.99869376
3.02,0.99873613
3.03,0.99877723
3.04,0.99881711
3.05,0.99885579
3.06,0.99889332
3.07,0.99892971
3.08,0.99896500
3.09,0.99899922
3.10,0.99903240
3.11,0.99906456
3.12,0.99909574
3.13,0.99912597
3.14,0.99915526
3.15,0.99918365
3.16,0.99921115
3.17,0.99923781
3.18,0.99926362
3.19,0.99928864
3.20,0.99931286
3.21,0.99933633
3.22,0.99935905
3.23,0.99938105
3.24,0.99940235
3.25,0.99942297
3.26,0.99944294
3.27,0.99946226
3.28,0.99948096
3.29,0.99949906
3.30,0.99951658
3.31,0.99953352
3.32,0.99954991
3.33,0.99956577
3.34,0.99958111
3.35,0.99959594
3.36,0.99961029
3.37,0.99962416
3.38,0.99963757
3.39,0.99965054
3.40,0.99966307
3.41,0.99967519
3.42,0.99968689
3.43,0.99969821
3.44,0.99970914
3.45,0.99971971
3.46,0.99972991
3.47,0.99973977
3.48,0.99974929
3.49,0.99975849
3.50,0.99976737
3.51,0.99977595
3.52,0.99978423
3.53,0.99979222
3.54,0.99979994
3.55,0.99980738
3.56,0.99981457
3.57,0.99982151
3.58,0.99982820
3.59,0.99983466
3.60,0.99984089
3.61,0.99984690
3.62,0.99985270
3.63,0.99985829
3.64,0.99986368
3.65,0.99986888
3.66,0.99987389
3.67,0.99987872
3.68,0.99988338
3.69,0.99988787
3.70,0.99989220
3.71,0.99989637
3.72,0.99990039
3.73,0.99990426
3.74,0.99990799
3.75,0.99991158
3.76,0.99991504
3.77,0.99991838
3.78,0.99992159
3.79,0.99992468
3.80,0.99992765
3.81,0.99993052
3.82,0.99993327
3.83,0.99993593
3.84,0.99993848
3.85,0.99994094
3.86,0.99994331
3.87,0.99994558
3.88,0.99994777
3.89,0.99994988
3.90,0.99995190
3.91,0.99995385
3.92,0.99995573
3.93,0.99995753
3.94,0.99995926
3.95,0.99996092
3.96,0.99996253
3.97,0.99996406
3.98,0.99996554
3.99,0.99996696
4.00,0.99996833
4.01,0.99996964
4.02,0.99997090
4.03,0.99997211
4.04,0.99997327
4.05,0.99997439
4.06,0.99997546
4.07,0.99997649
4.08,0.99997748
4.09,0.99997843
4.10,0.99997934
4.11,0.99998022
4.12,0.99998106
4.13,0.99998186
4.14,0.99998263
4.15,0.99998338
4.16,0.99998409
4.17,0.99998477
4.18,0.99998542
4.19,0.99998605
4.20,0.99998665
4.21,0.99998723
4.22,0.99998778
4.23,0.99998832
4.24,0.99998882
4.25,0.99998931
4.26,0.99998978
4.27,0.99999023
4.28,0.99999066
4.29,0.99999107
4.30,0.99999146
4.31,0.99999184
4.32,0.99999220
4.33,0.99999254
4.34,0.99999288
4.35,0.99999319
4.36,0.99999350
4.37,0.99999379
4.38,0.99999407
4.39,0.99999433
4.40,0.99999459
4.41,0.99999483
4.42,0.99999506
4.43,0.99999529
4.44,0.99999550
4.45,0.99999571
4.46,0.99999590
4.47,0.99999609
4.48,0.99999627
4.49,0.99999644
4.50,0.99999660
